season,episode,code,index_title,title,words,url,file
6,11,0611,611 The Apothecary Table,The One With The Apothecary Table,3700,https://edersoncorbari.github.io/friends-scripts/season/0611.html,transcripts/season-06/s06e11-611-the-apothecary-table.txt
6,12,0612,612 The Joke,The One With The Joke,3729,https://edersoncorbari.github.io/friends-scripts/season/0612.html,transcripts/season-06/s06e12-612-the-joke.txt
6,13,0613,613 Rachel's Sister,The One With Rachel’s Sister,3602,https://edersoncorbari.github.io/friends-scripts/season/0613.html,transcripts/season-06/s06e13-613-rachel-s-sister.txt
6,14,0614,614 Chandler Can't Cry,The One Where Chandler Can’t Cry,3788,https://edersoncorbari.github.io/friends-scripts/season/0614.html,transcripts/season-06/s06e14-614-chandler-can-t-cry.txt
6,15-16,0615-0616,"615-616 That Could Have Been, Part I & II",The One That Could Have Been,7611,https://edersoncorbari.github.io/friends-scripts/season/0615-0616.html,transcripts/season-06/s06e15-16-615-616-that-could-have-been-part-i-ii.txt
6,17,0617,617 Unagi,The One With The Unagi,3824,https://edersoncorbari.github.io/friends-scripts/season/0617.html,transcripts/season-06/s06e17-617-unagi.txt
6,18,0618,618 Ross Dates A Student,The One Where Ross Dates A Student,3924,https://edersoncorbari.github.io/friends-scripts/season/0618.html,transcripts/season-06/s06e18-618-ross-dates-a-student.txt
6,19,0619,619 Joey's Fridge,The One With Joey’s Fridge,3800,https://edersoncorbari.github.io/friends-scripts/season/0619.html,transcripts/season-06/s06e19-619-joey-s-fridge.txt
6,20,0620,620 Mac And C.H.E.E.S.E.,The One With Mac and C.H.E.E.S.E.,4212,https://edersoncorbari.github.io/friends-scripts/season/0620.html,transcripts/season-06/s06e20-620-mac-and-c-h-e-e-s-e.txt
6,21,0621,621 Ross Meets Elizabeth's Dad,The One Where Ross Meets Elizabeth’s Dad,4079,https://edersoncorbari.github.io/friends-scripts/season/0621.html,transcripts/season-06/s06e21-621-ross-meets-elizabeth-s-dad.txt
6,22,0622,622 Paul's The Man,The One Where Paul’s The Man,3897,https://edersoncorbari.github.io/friends-scripts/season/0622.html,transcripts/season-06/s06e22-622-paul-s-the-man.txt
6,23,0623,623 The Ring,The One With The Ring,3882,https://edersoncorbari.github.io/friends-scripts/season/0623.html,transcripts/season-06/s06e23-623-the-ring.txt
6,24,0624,"624 The Proposal, Part I & II",The One With The Proposal,7775,https://edersoncorbari.github.io/friends-scripts/season/0624.html,transcripts/season-06/s06e24-624-the-proposal-part-i-ii.txt
7,01,0701,701 Monica's Thunder,The One With Monica’s Thunder,3709,https://edersoncorbari.github.io/friends-scripts/season/0701.html,transcripts/season-07/s07e01-701-monica-s-thunder.txt
7,02,0702,702 Rachel's Book,The One With Rachel’s Book,3455,https://edersoncorbari.github.io/friends-scripts/season/0702.html,transcripts/season-07/s07e02-702-rachel-s-book.txt
7,03,0703,703 Phoebe's Cookies,The One With Phoebe’s Cookies,3735,https://edersoncorbari.github.io/friends-scripts/season/0703.html,transcripts/season-07/s07e03-703-phoebe-s-cookies.txt
7,04,0704,704 Rachel's Assistant,The One With Rachel’s Assistant,3640,https://edersoncorbari.github.io/friends-scripts/season/0704.html,transcripts/season-07/s07e04-704-rachel-s-assistant.txt
7,05,0705,705 The Engagement Picture,The One With The Engagement Picture,3725,https://edersoncorbari.github.io/friends-scripts/season/0705.html,transcripts/season-07/s07e05-705-the-engagement-picture.txt
7,06,0706,706 The Nap Partners,The One With The Nap Partners,3579,https://edersoncorbari.github.io/friends-scripts/season/0706.html,transcripts/season-07/s07e06-706-the-nap-partners.txt
7,07,0707,707 Ross's Library Book,The One With Ross’s Book,3556,https://edersoncorbari.github.io/friends-scripts/season/0707.html,transcripts/season-07/s07e07-707-ross-s-library-book.txt
7,08,0708,708 Chandler Doesn't Like Dogs,The One Where Chandler Doesn’t Like Dogs,3626,https://edersoncorbari.github.io/friends-scripts/season/0708.html,transcripts/season-07/s07e08-708-chandler-doesn-t-like-dogs.txt
7,09,0709,709 All The Candy,The One With All The Candy,3719,https://edersoncorbari.github.io/friends-scripts/season/0709.html,transcripts/season-07/s07e09-709-all-the-candy.txt
7,10,0710,710 The Huliday Armadillo,The One With the Holiday Armadillo,3416,https://edersoncorbari.github.io/friends-scripts/season/0710.html,transcripts/season-07/s07e10-710-the-huliday-armadillo.txt
7,11,0711,711 All The Cheesecakes,The One With All The Cheesecakes,4007,https://edersoncorbari.github.io/friends-scripts/season/0711.html,transcripts/season-07/s07e11-711-all-the-cheesecakes.txt
7,12,0712,712 They're Up All Night,The One Where They’re Up All Night,3822,https://edersoncorbari.github.io/friends-scripts/season/0712.html,transcripts/season-07/s07e12-712-they-re-up-all-night.txt
